Token,Var_Refs_In_CSS,Defined
--sn-emotion-aggressive-oklab-chroma,0,yes
--sn-emotion-aggressive-oklab-hue,0,yes
--sn-emotion-aggressive-oklab-luminance,0,yes
--sn-emotion-aggressive-oklab-primary-rgb,1,yes
--sn-emotion-ambient-oklab-accent-rgb,1,yes
--sn-emotion-ambient-oklab-atmosphere-rgb,0,yes
--sn-emotion-ambient-oklab-chroma,0,yes
--sn-emotion-ambient-oklab-hue,0,yes
--sn-emotion-ambient-oklab-luminance,0,yes
--sn-emotion-ambient-oklab-primary-rgb,1,yes
--sn-emotion-calm-oklab-accent-rgb,1,yes
--sn-emotion-calm-oklab-atmosphere-rgb,0,yes
--sn-emotion-calm-oklab-chroma,0,yes
--sn-emotion-calm-oklab-hue,0,yes
--sn-emotion-calm-oklab-luminance,0,yes
--sn-emotion-calm-oklab-primary-rgb,1,yes
--sn-emotion-energetic-oklab-accent-rgb,1,yes
--sn-emotion-energetic-oklab-atmosphere-rgb,0,yes
--sn-emotion-energetic-oklab-chroma,0,yes
--sn-emotion-energetic-oklab-hue,0,yes
--sn-emotion-energetic-oklab-luminance,0,yes
--sn-emotion-energetic-oklab-primary-rgb,1,yes
--sn-emotion-epic-oklab-accent-rgb,1,yes
--sn-emotion-epic-oklab-atmosphere-rgb,0,yes
--sn-emotion-epic-oklab-chroma,0,yes
--sn-emotion-epic-oklab-hue,0,yes
--sn-emotion-epic-oklab-luminance,0,yes
--sn-emotion-epic-oklab-primary-rgb,1,yes
--sn-emotion-happy-oklab-accent-rgb,1,yes
--sn-emotion-happy-oklab-atmosphere-rgb,0,yes
--sn-emotion-happy-oklab-chroma,0,yes
--sn-emotion-happy-oklab-hue,0,yes
--sn-emotion-happy-oklab-luminance,0,yes
--sn-emotion-happy-oklab-primary-rgb,1,yes
--sn-emotion-melancholy-oklab-accent-rgb,0,yes
--sn-emotion-melancholy-oklab-atmosphere-rgb,0,yes
--sn-emotion-melancholy-oklab-chroma,0,yes
--sn-emotion-melancholy-oklab-hue,0,yes
--sn-emotion-melancholy-oklab-luminance,0,yes
--sn-emotion-melancholy-oklab-primary-rgb,0,yes
--sn-emotion-mysterious-oklab-accent-rgb,1,yes
--sn-emotion-mysterious-oklab-atmosphere-rgb,0,yes
--sn-emotion-mysterious-oklab-chroma,0,yes
--sn-emotion-mysterious-oklab-hue,0,yes
--sn-emotion-mysterious-oklab-luminance,0,yes
--sn-emotion-mysterious-oklab-primary-rgb,1,yes
--sn-emotion-romantic-oklab-accent-rgb,1,yes
--sn-emotion-romantic-oklab-atmosphere-rgb,0,yes
--sn-emotion-romantic-oklab-chroma,0,yes
--sn-emotion-romantic-oklab-hue,0,yes
--sn-emotion-romantic-oklab-luminance,0,yes
--sn-emotion-romantic-oklab-primary-rgb,1,yes
--sn-genre-ambient-oklab-accent-rgb,0,yes
--sn-genre-ambient-oklab-chroma-boost,0,yes
--sn-genre-ambient-oklab-hue-shift,0,yes
--sn-genre-ambient-oklab-lightness-boost,0,yes
--sn-genre-ambient-oklab-preset,0,yes
--sn-genre-ambient-oklab-primary-rgb,0,yes
--sn-genre-classical-oklab-accent-rgb,0,yes
--sn-genre-classical-oklab-chroma-boost,1,yes
--sn-genre-classical-oklab-hue-shift,0,yes
--sn-genre-classical-oklab-lightness-boost,1,yes
--sn-genre-classical-oklab-preset,0,yes
--sn-genre-classical-oklab-primary-rgb,0,yes
--sn-genre-default-oklab-accent-rgb,0,yes
--sn-genre-default-oklab-chroma-boost,0,yes
--sn-genre-default-oklab-hue-shift,0,yes
--sn-genre-default-oklab-lightness-boost,0,yes
--sn-genre-default-oklab-preset,0,yes
--sn-genre-default-oklab-primary-rgb,0,yes
--sn-genre-electronic-oklab-accent-rgb,0,yes
--sn-genre-electronic-oklab-chroma-boost,1,yes
--sn-genre-electronic-oklab-hue-shift,0,yes
--sn-genre-electronic-oklab-lightness-boost,1,yes
--sn-genre-electronic-oklab-preset,0,yes
--sn-genre-electronic-oklab-primary-rgb,0,yes
--sn-genre-folk-oklab-accent-rgb,0,yes
--sn-genre-folk-oklab-chroma-boost,0,yes
--sn-genre-folk-oklab-hue-shift,0,yes
--sn-genre-folk-oklab-lightness-boost,0,yes
--sn-genre-folk-oklab-preset,0,yes
--sn-genre-folk-oklab-primary-rgb,0,yes
--sn-genre-hiphop-oklab-accent-rgb,0,yes
--sn-genre-hiphop-oklab-chroma-boost,0,yes
--sn-genre-hiphop-oklab-hue-shift,0,yes
--sn-genre-hiphop-oklab-lightness-boost,0,yes
--sn-genre-hiphop-oklab-preset,0,yes
--sn-genre-hiphop-oklab-primary-rgb,0,yes
--sn-genre-jazz-oklab-accent-rgb,0,yes
--sn-genre-jazz-oklab-chroma-boost,0,yes
--sn-genre-jazz-oklab-hue-shift,0,yes
--sn-genre-jazz-oklab-lightness-boost,0,yes
--sn-genre-jazz-oklab-preset,0,yes
--sn-genre-jazz-oklab-primary-rgb,0,yes
--sn-genre-pop-oklab-accent-rgb,0,yes
--sn-genre-pop-oklab-chroma-boost,0,yes
--sn-genre-pop-oklab-hue-shift,0,yes
--sn-genre-pop-oklab-lightness-boost,0,yes
--sn-genre-pop-oklab-preset,0,yes
--sn-genre-pop-oklab-primary-rgb,0,yes
--sn-genre-rock-oklab-accent-rgb,0,yes
--sn-genre-rock-oklab-chroma-boost,2,yes
--sn-genre-rock-oklab-hue-shift,0,yes
--sn-genre-rock-oklab-lightness-boost,1,yes
--sn-genre-rock-oklab-preset,0,yes
--sn-genre-rock-oklab-primary-rgb,0,yes
--sn-glyph-base-size,0,yes
--sn-glyph-color-rgb,0,yes
--sn-glyph-glow,0,yes
--sn-glyph-intensity,0,yes
--sn-glyph-rotation,0,yes
--sn-ix-echo-future-opacity,0,yes
--sn-ix-echo-past-opacity,0,yes
--sn-ix-echo-present-opacity,0,yes
--sn-ix-feedback-moderate,0,yes
--sn-ix-feedback-prominent,0,yes
--sn-ix-feedback-subtle,0,yes
--sn-ix-magnetic-active-pull,0,yes
--sn-ix-magnetic-focus-pull,0,yes
--sn-ix-magnetic-hover-pull,0,yes
--sn-ix-ripple-color-rgb,0,yes
--sn-ix-ripple-duration,0,yes
--sn-ix-ripple-intensity,0,yes
--sn-kinetic-animation-speed,0,yes
--sn-kinetic-beat-interval,0,yes
--sn-kinetic-bpm,0,yes
--sn-kinetic-energy,0,yes
--sn-kinetic-valence,0,yes
--sn-layout-radius-full,0,yes
--sn-layout-radius-lg,0,yes
--sn-layout-radius-md,0,yes
--sn-layout-radius-sm,0,yes
--sn-layout-radius-xl,0,yes
--sn-layout-space-2xl,0,yes
--sn-layout-space-lg,0,yes
--sn-layout-space-md,0,yes
--sn-layout-space-sm,0,yes
--sn-layout-space-xl,0,yes
--sn-layout-space-xs,0,yes
--sn-layout-z-background,0,yes
--sn-layout-z-content,0,yes
--sn-layout-z-modal,0,yes
--sn-layout-z-nebula,0,yes
--sn-layout-z-particles,0,yes
--sn-layout-z-ui,0,yes
--sn-musical-oklab-accent-rgb,3,yes
--sn-musical-oklab-emotion,0,yes
--sn-musical-oklab-enabled,0,yes
--sn-musical-oklab-genre,0,yes
--sn-musical-oklab-highlight-rgb,2,yes
--sn-musical-oklab-intensity,0,yes
--sn-musical-oklab-preset-name,0,yes
--sn-musical-oklab-primary-rgb,6,yes
--sn-musical-oklab-secondary-rgb,0,yes
--sn-musical-oklab-shadow-rgb,2,yes
--sn-music-beat-pulse-intensity,0,yes
--sn-music-breathing-scale,0,yes
--sn-music-energy-level,6,yes
--sn-music-energy-modulation,0,yes
--sn-music-feed-bloom-intensity,0,yes
--sn-music-intensity-boost,0,yes
--sn-music-micro-beat-intensity,0,yes
--sn-music-micro-breathing-scale,0,yes
--sn-music-micro-rhythm-phase,0,yes
--sn-music-rhythm-phase,1,yes
--sn-music-spectrum-phase,0,yes
--sn-music-sync-enabled,0,yes
--sn-music-tempo-bpm,0,yes
--sn-music-valence,0,yes
--sn-oklab-accent-luminance,8,yes
--sn-oklab-accent-rgb,9,yes
--sn-oklab-base-luminance,0,yes
--sn-oklab-default-chroma,11,yes
--sn-oklab-default-hue,4,yes
--sn-oklab-highlight-rgb,5,yes
--sn-oklab-primary-rgb,8,yes
--sn-oklab-shadow-rgb,3,yes
--sn-perf-batch-enabled,0,yes
--sn-perf-cdf-aberration-strength,0,yes
--sn-perf-cdf-enabled,0,yes
--sn-perf-cdf-energy,0,yes
--sn-perf-cdf-scroll-ratio,0,yes
--sn-perf-fps-target,0,yes
--sn-perf-gpu-acceleration-enabled,0,yes
--sn-perf-memory-optimization,0,yes
--sn-perf-mode,0,yes
--sn-perf-quality-blur,0,yes
--sn-perf-quality-particles,0,yes
--sn-perf-quality-shadows,0,yes
--sn-perf-webgl-context-ready,0,yes
--sn-perf-webgpu-context-ready,0,yes
--sn-rotation-disable,0,yes
--sn-rotation-multiplier,0,yes
--sn-serendipity-animation-duration,0,yes
--sn-serendipity-end-z,0,yes
--sn-serendipity-idle-threshold,0,yes
--sn-serendipity-start-z,0,yes
--sn-text-cosmic-blur,0,yes
--sn-text-energy-brightness,0,yes
--sn-text-glow-intensity,0,yes
--sn-text-gradient-angle,0,yes
--sn-text-harmonic-saturation,0,yes
--sn-text-rhythm-hue,0,yes
--sn-text-scale-2xl,0,yes
--sn-text-scale-base,0,yes
--sn-text-scale-lg,0,yes
--sn-text-scale-sm,0,yes
--sn-text-scale-xl,0,yes
--sn-text-scale-xs,0,yes
--sn-theme-cinematic-amber-rgb,0,yes
--sn-theme-cinematic-blue-rgb,0,yes
--sn-theme-cinematic-cyan-rgb,0,yes
--sn-theme-cinematic-red-rgb,0,yes
--sn-theme-ethereal-dreamy-rgb,0,yes
--sn-theme-ethereal-emotional-rgb,0,yes
--sn-theme-ethereal-highlight-rgb,0,yes
--sn-theme-ethereal-mystical-rgb,0,yes
--sn-theme-ethereal-soft-rgb,0,yes
--sn-theme-natural-earthy-rgb,0,yes
--sn-theme-natural-forest-rgb,0,yes
--sn-theme-natural-sky-rgb,0,yes
--sn-theme-natural-stone-rgb,0,yes
--sn-theme-natural-sunset-rgb,0,yes
--sn-transition-extended-duration,0,yes
--sn-transition-fast,1,yes
--sn-transition-fast-duration,2,yes
--sn-transition-slow,0,yes
--sn-transition-slow-duration,2,yes
--sn-transition-standard,0,yes
--sn-transition-standard-duration,2,yes
--sn-transition-timing-default,3,yes
--sn-ui-button-accent-hex,0,yes
--sn-ui-button-accent-rgb,0,yes
--sn-ui-button-cosmic-glow,0,yes
--sn-ui-button-energy-brightness,0,yes
--sn-ui-button-hologram-opacity,0,yes
--sn-ui-card-3d-enabled,0,yes
--sn-ui-card-beat-intensity,0,yes
--sn-ui-card-constellation-opacity,0,yes
--sn-ui-card-energy-level,0,yes
--sn-ui-card-harmonic-saturation,0,yes
--sn-ui-card-rhythm-phase,0,yes
--sn-ui-glass-beat-opacity,1,yes
--sn-ui-glass-blur,0,yes
--sn-ui-glass-float-distance,0,yes
--sn-ui-glass-frost-intensity,0,yes
--sn-ui-glass-opacity,0,yes
--sn-ui-glass-pulse-enabled,16,yes
--sn-ui-nav-echo-opacity,0,yes
--sn-ui-nav-glow-intensity,0,yes
--sn-ui-nav-magnetic-pull,0,yes
--sn-ui-nav-neural-primary-rgb,0,yes
--sn-ui-nav-neural-secondary-rgb,0,yes
--sn-ui-sidebar-magnetic-focus-pull,0,yes
--sn-ui-sidebar-magnetic-hover-pull,0,yes
--sn-ui-sidebar-visual-effects-deep-rgb,0,yes
--sn-ui-sidebar-visual-effects-opacity,0,yes
--sn-visual-effects-accessibility-scale,0,yes
--sn-visual-effects-advanced-mode,0,yes
--sn-visual-effects-animation-rate,0,yes
--sn-visual-effects-animation-scale,0,yes
--sn-visual-effects-contrast-boost,0,yes
--sn-visual-effects-depth-approach,0,yes
--sn-visual-effects-depth-field,0,yes
--sn-visual-effects-depth-neutral,0,yes
--sn-visual-effects-depth-priority-high,0,yes
--sn-visual-effects-depth-priority-low,0,yes
--sn-visual-effects-depth-priority-medium,0,yes
--sn-visual-effects-depth-priority-receded,0,yes
--sn-visual-effects-depth-recede,0,yes
--sn-visual-effects-field-intensity,0,yes
--sn-visual-effects-flow-rate,0,yes
--sn-visual-effects-flow-viscosity,0,yes
--sn-visual-effects-magnetic-focus-pull,0,yes
--sn-visual-effects-magnetic-hover-pull,0,yes
--sn-visual-effects-magnetic-interest-pull,0,yes
--sn-visual-effects-magnetic-max-rotation,0,yes
--sn-visual-effects-magnetic-transition-speed,0,yes
--sn-visual-effects-membrane-elasticity,0,yes
--sn-visual-effects-mobile-reduction,3,yes
--sn-visual-effects-performance-mode,0,yes
--sn-visual-effects-permeability,0,yes
--sn-visual-effects-response-sensitivity,0,yes
--sn-visual-effects-subdivision-frequency,0,yes
--sn-visual-effects-subdivision-mode,0,yes
--sn-visual-effects-surface-tension,0,yes
--sn-visual-effects-text-clarity,0,yes
